,拼音,解释,例子,用法,谜语,感情,英语,结构,字数,年代,热度,词语解释,出处,正音,辨形,辨析,繁体,组合,歇后语,成语故事
一动不动,yī dòng bù dòng,指静止不动或懒得活动。,宗璞《东藏记》第五章：“弗之伫立堤上一动不动，像一尊石像。”,作谓语、定语、状语；多用于人的状态。,,中性,,紧缩式,四字,当代,常用,一动不动,王朔《浮出海面》：“我继续一动不动地凝视他们，这对可怜的情人实在无法保持冷静，松开嘴，忿忿地起身走了。”,,,,一動不動,ABCB式,,
清清楚楚,qīng qīng chǔ chǔ,清晰明白有条理。,邓小平《坚决打击经济犯罪活动》：“盗窃国家财产，贪污受贿，这是现钱买卖，清清楚楚，不容易搞错。”,作定语、状语；指十分清晰。,白纸上写墨字,中性,clear（as clear as a whistle; in so many words）,联合式,四字,当代,常用,清清楚楚,清·褚人获《隋唐演义》第36回：“又见世南生得清清楚楚，弱不胜衣，故憨憨的只管贪看。”,,,,,AABB式,,
淋漓尽致,lín lí jìn zhì,淋漓：尽情；畅快；尽致：达到极点。形容把事物的一切情态充分地刻画、表现了出来。,鲁迅以笔做刀枪，淋漓尽致地揭露了辛亥革命的弊端。,联合式；作定语、状语、补语；含褒义。,,褒义,most incisive,联合式,四字,古代,常用,淋漓尽致,明 李清《三垣笔记 崇祯补遗》：“叙次大内规制井井，而所纪客氏、魏忠贤骄横状，亦淋漓尽致，其为史家必采无疑。”,“致”，不能读作“zì”；“尽”，不能读作“jǐn”。,“淋漓”，不能写作“琳璃”；“致”，不能写作“至”。,,淋灕儘致,,,
千方百计,qiān fāng bǎi jì,方：方法；计：计谋。想尽种种办法；用出种种计谋。,这个老匪开初千方百计想收买这支已经武装了的工人队伍，可是工人们坚决拒绝加入匪股。（曲波《林海雪原》十四）,联合式；作状语、宾语；含褒义。,1000的平方＝100x100x100,褒义,use every means to,联合式,四字,古代,常用,千方百计,宋 朱熹《朱子类语 卷三十五 论语》：“譬如捉贼相似，须是著起气力精神，千方百计去赶捉他。”,“计”，不能读作“jī”。,“计”，不能写作“记”。,千方百计和“想方设法”；都有“想尽办法”的意思。不同在于：千方百计是指“用尽一切办法”；“想方设法”是“多方面想办法。”,千方百計,,,
自然而然,zì rán ér rán,自由发展；必然这样。指非经人力干预而自然如此。自然：事物本身固有的样子。,清 文康《儿女英雄传》第18回：“不知怎的自然而然有一种说不出的感慨。”,复杂式；作状语；含褒义。,天火,褒义,naturally（automatically; spontaneously）,复杂式,四字,古代,常用,自然而然,《牟子理惑篇》：“夫吉凶之与善恶，犹善恶之乘形声，自然而然，不得相免也。”,,,,,ABCB式,,
心甘情愿,xīn gān qíng yuàn,心里完全愿意；没有一点勉强。多指自愿作出某种牺牲。心甘：乐意。,温州不算十分穷苦的地方，也没碰着大荒年，干什么得了七个小毛钱，就心甘情愿的将自己的小妹子捧给人家呢？（朱自清《温州的踪迹》）,联合式；作谓语、宾语、状语；含褒义。,自愿,褒义,be of one's free will,联合式,四字,古代,常用,心甘情愿,元 关汉卿《蝴蝶梦》第三折：“他便死也我甘心情愿。”,,“甘”，不能写作“干”。,,心甘情願,,,
点点滴滴,diǎn diǎn dī dī,一点一滴地落下，形容数量非常少。,王朔《我是你爸爸》：“阳光明媚，点点滴滴洒在民房的房脊瓦片上。”,作宾语、定语、状语；指数量少。,,中性,dribs and drabs（bit by bit）,联合式,四字,古代,常用,点点滴滴,宋·李清照《声声慢》：“梧桐更兼细雨，到黄昏、点点滴滴。”,,,,點點滴滴,AABB式,,
一举一动,yī jǔ yī dòng,指人的每一个动作；所有的行动。,她的一举一动都象个多年的媳妇，麻利，老到，还带着点自得的劲儿。（老舍《骆驼祥子》十五）,联合式；作主语、宾语；指人的言行。,,中性,get two results from one effort,联合式,四字,古代,常用,一举一动,宋 朱熹《朱子语类》：“一举一动，一言一行，无不著力。”,“一”，不能读作“yì”。,“动”，不能写作“冻”。,,一舉一動,ABAC式,,
难以置信,nán yǐ zhì xìn,不容易相信。,路遥《平凡的世界》第五卷第一章：“简直使人难以置信这些小小的山沟山湾，怎么能承载了如此大的负荷？”,紧缩式；作谓语；用于惊讶的场合。,水淹邮筒；邮筒塞满了,中性,beyond belief（be past expression）,偏正式,四字,当代,常用,难以置信,马克·吐温《竞选州长》：“当真把我的名字牵连到这个不名誉的嫌疑上面，一时实在令人难以置信。”,,,,難以置信,,,
截然不同,jié rán bù tóng,截然：界限分明；像割断的一样。形容两种事物没有一点必然联系。,直到近来，经过许多学者的研究，才知道孩子的世界，与成人截然不同。（鲁迅《坟 我们现在怎样做父亲》）,偏正式；作谓语、宾语、定语；形容两件事物毫无共同之处。,,中性," a horse of a different color（quite a different matter,question,or point）",偏正式,四字,当代,常用,截然不同,鲁迅《坟 我们现在怎样做父亲》：“直到近来，经过许多学者的研究，才知道孩子的世界，与成人截然不同。”,“截”，不能读作“zái”。,“截”，不能写作“极”。,截然不同和“天壤之别”；都比喻“差别极大；完全不同”的意思；有时可通用。但在“天壤之别”前面要用上“有”、“有着”、“存在着”、“真有”等词语；截然不同却不一定要用这些词语。一般作谓语、宾语、定语。,巀然不同,,,
轻而易举,qīng ér yì jǔ,轻：轻松；举：向上托。很轻松很容易地举起来。形容做事情毫不费力。,事情并不象宋福想的那样轻而易举。（杨朔《渔笛》）,偏正式；作谓语、定语、状语；含褒义。,难以重托,褒义,easy to undertake,偏正式,四字,古代,常用,轻而易举,《诗经 大雅 烝民》：“人亦有言，德輶如毛，民鲜克举之。”宋 朱熹注：“言人皆言德甚轻而易举，然人莫能举也。”,“而”，不能读作“ěr”。,“轻”，不能写作“青”。,轻而易举和“易如反掌”都表示“事情容易办”；但“易如反掌”比轻而易举程度更深；在否定句中常用轻而易举。,輕而易舉,,大力士耍灯草；水牛背上挂树叶,
惊心动魄,jīng xīn dòng pò,原指作品文辞优美；使人感受极深；震动极大。后形容令人震惊、感动、紧张之极。,这部战争片中，有不少惊心动魄的场面。,联合式；作谓语、定语、状语、补语；用于说明事物壮观。,脑袋上放炮竹,中性,profoundly affecting,联合式,四字,古代,常用,惊心动魄,南朝 梁 钟嵘《诗品》上卷：“文温以丽，意悲而远，惊心动魄，可谓几乎一字千金。”,“魄”，不能读作“pài”。,“魄”，不能写作“魂”。,惊心动魄和“触目惊心”都可形容让人非常吃惊的事。但的适用范围比“触目惊心”广；无论看得见或看不见的对象都能运用；“触目惊心’只适用于能看得见的对象。,驚心動魄,,脑袋上放炮竹,惊心动魄
新陈代谢,xīn chén dài xiè,原指生物体经常地、不断地用新物质代替旧物质的过程。现比喻新生事物代替衰亡的旧事物。陈：陈旧的；代：更换；谢：衰亡。,世界上总是这样以新的代替旧的，总是这样新陈代谢、除旧布新或推陈出新的。（毛泽东《矛盾论》）,主谓式；作主语、谓语、定语；指生物体的更替。,,中性,metabolism,主谓式,四字,当代,常用,新陈代谢,郭沫若《少年时代 黑猫》：“辛亥革命以后，因宦海中起了新陈代谢的宏波，于是政法风更成了狂风。”,“陈”，不能读作“cén”。,“谢”，不能写作“榭”。,新陈代谢和“推陈出新”；都含有“扬弃旧的；产生新的”的意思。但新陈代谢是客观规律；有时是指生物学专有名词；用以指生物体不断以新物质代替旧物质的过程。“推陈出新”一般是主观努力的结果；多指继承文化遗产、政策、措施等。,新陳代謝,,,
一见钟情,yī jiàn zhōng qíng,钟：集中；专注。男女之间一见面就产生很深的感情。,他们两个人一见钟情。,连动式；作谓语、定语、宾语；用于男女之间相爱。,吕布遇貂禅,中性,fall in love with sb. the first time one set one's eyes on sb.,连动式,四字,近代,常用,一见钟情,清 墨浪子《西湖佳话》：“乃蒙郎君一见钟情，故贱妾有感于心。”,“钟”，不能读作“zōng”。,“钟”，不能写作“中”。,见“一见如故”。,一見鐘情,,白素贞借伞,一见钟情
自由自在,zì yóu zì zài,形容没有拘束；十分安闲舒适。,看那些交了卷出去的人真象自由自在的仙人。（叶圣陶《马铃瓜》）,联合式；作谓语、定语；含褒义。,出了笼的鸟,褒义,footloose and fancy free（as free as bird）,联合式,四字,古代,常用,自由自在,唐 释慧能《六祖大师法宝坛经 顿浙品第八》：“自由自在，纵横尽得，有何可立？”,,,见“逍遥自在”、“无拘无束”。,,ABAC式,,
一目了然,yī mù liǎo rán,目：看。了然：明明白白的样子。一眼就看得很清楚。,却说这中堂正对着那个围场，四扇大窗洞开，场上的事，一目了然。（清 曾朴《孽海花》第十九回）,主谓式；作谓语、定语；含褒义。,火烧眉毛,褒义,come into plain view,主谓式,四字,古代,常用,一目了然,宋 朱熹《朱子语类》第137卷：“见得道理透后，从高视下，一目了然。”,“了”，不能读作“liào”。,“然”，不能写作“燃”。,一目了然和“了如指掌”；都有“对情况清楚了解”的意思。但一目了然偏重在表示了解得十分容易；不表示一看就懂的意思；“了如指掌”偏重表示了解得十分透彻。,一目瞭然,,单眼儿看老婆；独眼龙看书,
轻轻松松,qīng qīng sōng sōng,不感到有负担，很容易。,丁玲《风雪人间》上卷：“自然不是轻轻松松地到处走走，看看，访问，调查了。”,作宾语、定语、状语；多用于口语。,,中性,,联合式,四字,古代,常用,,明·凌濛初《初刻拍案惊奇》第39卷：“天不凑趣，假如肯轻轻松松洒下几点，也要算他功劳。”,,,,,AABB式,,
咬牙切齿,yǎo yá qiè chǐ,切齿：咬紧牙齿；表示痛恨。形容愤恨或发狠到极点的神情。,只见水军头领早把张清解来。众多兄弟都被他打伤，咬牙切齿，尽要来杀张清。（明 施耐庵《水浒传》第七十回）,联合式；作谓语、定语、状语；含贬义。,斗蟋蟀,贬义,bite one's lips and graw one's teeth,联合式,四字,古代,常用,咬牙切齿,元 孙仲章《勘头巾》第二折：“为甚事咬牙切齿，唬得犯罪人面色如金纸。”,“切”，不能读作“qiē”。,“牙”，不能写作“芽”。,（一）见“恨之入骨”。（二）咬牙切齿和“痛心疾首”“深恶痛绝”；都表示痛恨。但咬牙切齿偏重在痛恨的状态表情；可以用于对自己方面也可以用于对敌人方面的痛恨；多作口头；“痛心疾首”偏重于“痛”的心情上；往往指对内部人的痛恨；多用作书面语；“深恶痛绝”偏重于形容痛恨的思想感情方面；多用于书面语。,齩牙切齒,,老太太吃炒蚕豆,
